Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
KINGSFORD . HILLVIEW PEAK,"1,720,000","1,097.93","1,567",Feb-26,HILLVIEW RISE,Resale,Strata,102,"16,863",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"1,220,000",678.13,"1,799",Feb-26,TAMPINES LANE,Resale,Strata,63,"19,365",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
THE EQUATORIAL,"5,680,000","3,455.24","1,644",Feb-26,STEVENS ROAD,Resale,Strata,321,"17,695",-,Condominium,1,Freehold,10,Core Central Region,11 to 15
CARISSA PARK CONDOMINIUM,"1,150,000",925.7,"1,242",Feb-26,FLORA DRIVE,Resale,Strata,86,"13,372",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
STIRLING RESIDENCES,"1,153,888",505.91,"2,281",Feb-26,STIRLING ROAD,Resale,Strata,47,"24,551",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,16 to 20
ARDMORE THREE,"6,280,000","1,743.77","3,601",Feb-26,ARDMORE PARK,Resale,Strata,162,"38,765",-,Condominium,1,Freehold,10,Core Central Region,31 to 35
THE LAKESHORE,"1,700,000","1,108.69","1,533",Feb-26,JURONG WEST STREET 41,Resale,Strata,103,"16,505",-,Condominium,1,99 yrs lease commencing from 2002,22,Outside Central Region,06 to 10
THE GLADES,"1,215,000",688.9,"1,764",Feb-26,BEDOK RISE,Resale,Strata,64,"18,984",-,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,01 to 05
JADESCAPE,"2,750,000","1,054.87","2,607",Feb-26,SHUNFU ROAD,Resale,Strata,98,"28,061",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,21 to 25
THE LAURELS,"2,580,000",882.65,"2,923",Feb-26,CAIRNHILL ROAD,Resale,Strata,82,"31,463",-,Condominium,1,Freehold,09,Core Central Region,11 to 15
BARTLEY RIDGE,"1,520,000",742.72,"2,047",Feb-26,MOUNT VERNON ROAD,Resale,Strata,69,"22,029",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,01 to 05
SILVERSEA,"5,058,000","2,518.78","2,008",Feb-26,MARINE PARADE ROAD,Resale,Strata,234,"21,615",-,Condominium,1,99 yrs lease commencing from 2007,15,Rest of Central Region,11 to 15
THE MADEIRA,"1,450,000","1,377.79","1,052",Feb-26,BUKIT BATOK STREET 31,Resale,Strata,128,"11,328",-,Condominium,1,99 yrs lease commencing from 2000,23,Outside Central Region,01 to 05
A TREASURE TROVE,"1,750,000","1,044.11","1,676",Feb-26,PUNGGOL WALK,Resale,Strata,97,"18,041",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
PARKVIEW ECLAT,"10,728,300","3,250.73","3,300",Feb-26,GRANGE ROAD,Resale,Strata,302,"35,524",-,Condominium,1,Freehold,10,Core Central Region,11 to 15
LEEDON RESIDENCE,"2,800,000","1,044.11","2,682",Feb-26,LEEDON HEIGHTS,Resale,Strata,97,"28,866",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
AVILA GARDENS,"1,055,000",893.41,"1,181",Feb-26,FLORA ROAD,Resale,Strata,83,"12,711",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
AQUARIUS BY THE PARK,"1,718,000","1,323.97","1,298",Feb-26,BEDOK RESERVOIR VIEW,Resale,Strata,123,"13,967",-,Condominium,1,99 yrs lease commencing from 1996,16,Outside Central Region,01 to 05
THE TESSARINA,"3,433,000","1,700.71","2,019",Feb-26,WILBY ROAD,Resale,Strata,158,"21,728",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
WEMBLY RESIDENCES,"2,640,000","1,883.7","1,401",Feb-26,YIO CHU KANG ROAD,Resale,Strata,175,"15,086",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
THE CORNWALL,"3,250,000","1,657.66","1,961",Feb-26,CORNWALL GARDENS,Resale,Strata,154,"21,104",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
ONE JERVOIS,"2,238,000",990.29,"2,260",Feb-26,JERVOIS CLOSE,Resale,Strata,92,"24,326",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
THE MAYFAIR,"1,420,000","1,173.28","1,210",Feb-26,JURONG EAST STREET 32,Resale,Strata,109,"13,028",-,Condominium,1,99 yrs lease commencing from 1996,22,Outside Central Region,01 to 05
BOATHOUSE RESIDENCES,"1,708,000","1,119.46","1,526",Feb-26,UPPER SERANGOON VIEW,Resale,Strata,104,"16,423",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
BARTLEY RIDGE,"2,150,000",968.76,"2,219",Feb-26,MOUNT VERNON ROAD,Resale,Strata,90,"23,889",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,11 to 15
MODENA,"1,820,000","1,442.38","1,262",Feb-26,SIMEI STREET 4,Resale,Strata,134,"13,582",-,Condominium,1,99 yrs lease commencing from 1997,18,Outside Central Region,06 to 10
FYVE DERBYSHIRE,"1,400,000",559.73,"2,501",Feb-26,DERBYSHIRE ROAD,Resale,Strata,52,"26,923",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
LA SUISSE,"3,188,000","2,109.74","1,511",Feb-26,SWISS VIEW,Resale,Strata,196,"16,265",-,Condominium,1,999 yrs lease commencing from 1878,11,Core Central Region,01 to 05
CLAVON,"2,139,999",958,"2,234",Feb-26,CLEMENTI AVENUE 1,Resale,Strata,89,"24,045",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,16 to 20
THE QUAYSIDE,"1,765,000","1,130.22","1,562",Feb-26,ROBERTSON QUAY,Resale,Strata,105,"16,810",-,Apartment,1,99 yrs lease commencing from 1994,09,Core Central Region,06 to 10
HERITAGE VIEW,"1,550,000",968.76,"1,600",Feb-26,DOVER RISE,Resale,Strata,90,"17,222",-,Condominium,1,99 yrs lease commencing from 1996,05,Rest of Central Region,06 to 10
IVORY HEIGHTS,"1,688,000","1,668.42","1,012",Feb-26,JURONG EAST STREET 13,Resale,Strata,155,"10,890",-,Condominium,1,100 yrs lease commencing from 1986,22,Outside Central Region,11 to 15
BULLION PARK,"1,900,000","1,237.86","1,535",Feb-26,LENTOR LOOP,Resale,Strata,115,"16,522",-,Condominium,1,Freehold,26,Outside Central Region,01 to 05
ST MARTIN RESIDENCE,"4,050,000","1,743.77","2,323",Feb-26,ST. MARTIN'S DRIVE,Resale,Strata,162,"25,000",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
SELETAR PARK RESIDENCE,"1,197,000","1,011.82","1,183",Feb-26,SELETAR ROAD,Resale,Strata,94,"12,734",-,Condominium,1,99 yrs lease commencing from 2011,28,Outside Central Region,01 to 05
VIZ AT HOLLAND,"928,000",495.14,"1,874",Feb-26,QUEENSWAY,Resale,Strata,46,"20,174",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
THE OCEANFRONT @ SENTOSA COVE,"2,068,880","1,216.33","1,701",Feb-26,OCEAN DRIVE,Resale,Strata,113,"18,309",-,Condominium,1,99 yrs lease commencing from 2005,04,Core Central Region,06 to 10
THE TENNERY,"840,000",613.55,"1,369",Feb-26,WOODLANDS ROAD,Resale,Strata,57,"14,737",-,Apartment,1,99 yrs lease commencing from 2010,23,Outside Central Region,06 to 10
THE PARC CONDOMINIUM,"2,610,000","1,302.44","2,004",Feb-26,WEST COAST WALK,Resale,Strata,121,"21,570",-,Condominium,1,Freehold,05,Outside Central Region,11 to 15
MILL POINT,"2,230,000",914.94,"2,437",Feb-26,ZION CLOSE,Resale,Strata,85,"26,235",-,Apartment,1,999 yrs lease commencing from 1877,10,Core Central Region,16 to 20
MILL POINT,"2,600,000","1,323.97","1,964",Feb-26,ZION CLOSE,Resale,Strata,123,"21,138",-,Apartment,1,999 yrs lease commencing from 1877,10,Core Central Region,16 to 20
WHITEHAVEN,"1,800,000","1,001.05","1,798",Feb-26,PASIR PANJANG ROAD,Resale,Strata,93,"19,355",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
SPRING @ LANGSAT,"775,000",473.62,"1,636",Feb-26,LANGSAT ROAD,Resale,Strata,44,"17,614",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
SUNGLADE,"1,980,000","1,151.75","1,719",Feb-26,SERANGOON AVENUE 2,Resale,Strata,107,"18,505",-,Condominium,1,99 yrs lease commencing from 2000,19,Outside Central Region,01 to 05
MANDARIN GARDENS,"1,600,000","1,001.05","1,598",Feb-26,SIGLAP ROAD,Resale,Strata,93,"17,204",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,11 to 15
CLAVON,"3,095,000","1,356.26","2,282",Feb-26,CLEMENTI AVENUE 1,Resale,Strata,126,"24,563",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,16 to 20
COASTLINE RESIDENCES,"1,780,000",710.42,"2,506",Feb-26,AMBER ROAD,Resale,Strata,66,"26,970",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
LIVIA,"1,375,000","1,151.75","1,194",Feb-26,PASIR RIS GROVE,Resale,Strata,107,"12,850",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05
KOPAR AT NEWTON,"2,480,000",914.94,"2,711",Feb-26,MAKEWAY AVENUE,Resale,Strata,85,"29,176",-,Apartment,1,99 yrs lease commencing from 2019,09,Core Central Region,16 to 20
PARC CLEMATIS,"2,050,000",968.76,"2,116",Feb-26,JALAN LEMPENG,Resale,Strata,90,"22,778",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
SYMPHONY SUITES,"1,440,000","1,022.58","1,408",Feb-26,YISHUN CLOSE,Resale,Strata,95,"15,158",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,11 to 15
TWIN VEW,"1,720,000",904.18,"1,902",Feb-26,WEST COAST VALE,Resale,Strata,84,"20,476",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,06 to 10
THOMSON IMPRESSIONS,"1,573,000",731.95,"2,149",Feb-26,LORONG PUNTONG,Resale,Strata,68,"23,132",-,Apartment,1,99 yrs lease commencing from 2015,20,Rest of Central Region,16 to 20
MARTIN MODERN,"2,088,000",764.24,"2,732",Feb-26,MARTIN PLACE,Resale,Strata,71,"29,408",-,Condominium,1,99 yrs lease commencing from 2016,09,Core Central Region,06 to 10
THE TEMBUSU,"1,850,000",936.47,"1,976",Feb-26,TAMPINES ROAD,Resale,Strata,87,"21,264",-,Condominium,1,Freehold,19,Outside Central Region,16 to 20
ONE EIGHTIES RESIDENCES,"2,180,000","1,280.92","1,702",Feb-26,JOO CHIAT TERRACE,Resale,Strata,119,"18,319",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
SIMS URBAN OASIS,"885,000",441.32,"2,005",Feb-26,SIMS DRIVE,Resale,Strata,41,"21,585",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,16 to 20
J GATEWAY,"1,050,000",473.62,"2,217",Feb-26,GATEWAY DRIVE,Resale,Strata,44,"23,864",-,Condominium,1,99 yrs lease commencing from 2012,22,Outside Central Region,26 to 30
AFFINITY AT SERANGOON,"2,668,000","1,453.14","1,836",Feb-26,SERANGOON NORTH AVENUE 1,Resale,Strata,135,"19,763",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
CASABLANCA,"1,280,000","1,108.69","1,155",Feb-26,ROSEWOOD DRIVE,Resale,Strata,103,"12,427",-,Condominium,1,99 yrs lease commencing from 2001,25,Outside Central Region,11 to 15
RICHMOND PARK,"5,100,000","1,550.02","3,290",Feb-26,BIDEFORD ROAD,Resale,Strata,144,"35,417",-,Condominium,1,Freehold,09,Core Central Region,16 to 20
SKIES MILTONIA,"940,000",710.42,"1,323",Feb-26,MILTONIA CLOSE,Resale,Strata,66,"14,242",-,Condominium,1,99 yrs lease commencing from 2012,27,Outside Central Region,01 to 05
ASTORIA PARK,"1,188,888",850.36,"1,398",Feb-26,LORONG MYDIN,Resale,Strata,79,"15,049",-,Condominium,1,99 yrs lease commencing from 1993,14,Outside Central Region,01 to 05
SCOTTS HIGHPARK,"4,150,000","1,743.77","2,380",Feb-26,SCOTTS ROAD,Resale,Strata,162,"25,617",-,Condominium,1,Freehold,09,Core Central Region,01 to 05
SPRING GROVE,"2,400,000","1,388.56","1,728",Feb-26,GRANGE ROAD,Resale,Strata,129,"18,605",-,Condominium,1,99 yrs lease commencing from 1991,10,Core Central Region,01 to 05
SEASCAPE,"4,050,000","2,174.33","1,863",Feb-26,COVE WAY,Resale,Strata,202,"20,050",-,Condominium,1,99 yrs lease commencing from 2007,04,Core Central Region,06 to 10
DRAYCOTT EIGHT,"2,700,000","1,173.28","2,301",Feb-26,DRAYCOTT PARK,Resale,Strata,109,"24,771",-,Condominium,1,99 yrs lease commencing from 1997,10,Core Central Region,01 to 05
PARK PLACE RESIDENCES AT PLQ,"1,090,000",484.38,"2,250",Feb-26,PAYA LEBAR ROAD,Resale,Strata,45,"24,222",-,Apartment,1,99 yrs lease commencing from 2015,14,Rest of Central Region,11 to 15
SCOTTS SQUARE,"4,080,000","1,237.86","3,296",Feb-26,SCOTTS ROAD,Resale,Strata,115,"35,478",-,Apartment,1,Freehold,09,Core Central Region,36 to 40
STARS OF KOVAN,"1,420,000",731.95,"1,940",Feb-26,UPPER SERANGOON ROAD,Resale,Strata,68,"20,882",-,Apartment,1,99 yrs lease commencing from 2015,19,Outside Central Region,06 to 10
MARTIN MODERN,"2,400,000",882.65,"2,719",Feb-26,MARTIN PLACE,Resale,Strata,82,"29,268",-,Condominium,1,99 yrs lease commencing from 2016,09,Core Central Region,06 to 10
THOMSON GRAND,"2,408,000","1,356.26","1,775",Feb-26,SIN MING WALK,Resale,Strata,126,"19,111",-,Condominium,1,99 yrs lease commencing from 2010,20,Rest of Central Region,06 to 10
THE OCEANFRONT @ SENTOSA COVE,"6,300,000","3,326.08","1,894",Feb-26,OCEAN DRIVE,Resale,Strata,309,"20,388",-,Condominium,1,99 yrs lease commencing from 2005,04,Core Central Region,11 to 15
AQUARIUS BY THE PARK,"1,218,000",893.41,"1,363",Feb-26,BEDOK RESERVOIR VIEW,Resale,Strata,83,"14,675",-,Condominium,1,99 yrs lease commencing from 1996,16,Outside Central Region,11 to 15
ICON,"1,550,000",914.94,"1,694",Feb-26,GOPENG STREET,Resale,Strata,85,"18,235",-,Apartment,1,99 yrs lease commencing from 2002,02,Core Central Region,11 to 15
THE VERMONT ON CAIRNHILL,"3,428,000","1,334.74","2,568",Feb-26,CAIRNHILL RISE,Resale,Strata,124,"27,645",-,Apartment,1,Freehold,09,Core Central Region,11 to 15
LEONIE SUITES,"1,250,000",688.9,"1,814",Feb-26,LEONIE HILL,Resale,Strata,64,"19,531",-,Apartment,1,99 yrs lease commencing from 2002,09,Core Central Region,26 to 30
AFFINITY AT SERANGOON,"2,410,888","1,248.62","1,931",Feb-26,SERANGOON NORTH AVENUE 1,Resale,Strata,116,"20,784",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
CARIBBEAN AT KEPPEL BAY,"2,720,000","1,334.74","2,038",Feb-26,KEPPEL BAY DRIVE,Resale,Strata,124,"21,935",-,Condominium,1,99 yrs lease commencing from 1999,04,Rest of Central Region,01 to 05
RIVER PLACE,"1,550,000",850.36,"1,823",Feb-26,HAVELOCK ROAD,Resale,Strata,79,"19,620",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,06 to 10
AMBER POINT,"4,122,000","1,689.95","2,439",Feb-26,AMBER ROAD,Resale,Strata,157,"26,255",-,Condominium,1,Freehold,15,Rest of Central Region,21 to 25
CALARASI,"1,828,000","1,227.1","1,490",Feb-26,KIM KEAT LANE,Resale,Strata,114,"16,035",-,Apartment,1,Freehold,12,Rest of Central Region,11 to 15
SEASCAPE,"5,553,000","2,669.47","2,080",Feb-26,COVE WAY,Resale,Strata,248,"22,391",-,Condominium,1,99 yrs lease commencing from 2007,04,Core Central Region,01 to 05
WATERFRONT ISLE,"2,220,000","1,259.39","1,763",Feb-26,BEDOK RESERVOIR ROAD,Resale,Strata,117,"18,974",-,Condominium,1,99 yrs lease commencing from 2009,16,Outside Central Region,06 to 10
77 @ EAST COAST,"1,280,000",667.37,"1,918",Feb-26,UPPER EAST COAST ROAD,Resale,Strata,62,"20,645",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE FLORENCE RESIDENCES,"1,255,000",667.37,"1,881",Feb-26,HOUGANG AVENUE 2,Resale,Strata,62,"20,242",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
SIMSVILLE,"1,860,000","1,248.62","1,490",Feb-26,GEYLANG EAST AVENUE 2,Resale,Strata,116,"16,034",-,Condominium,1,99 yrs lease commencing from 1994,14,Rest of Central Region,11 to 15
THE METROPOLITAN CONDOMINIUM,"3,000,000","1,367.03","2,195",Feb-26,ALEXANDRA VIEW,Resale,Strata,127,"23,622",-,Condominium,1,99 yrs lease commencing from 2006,03,Rest of Central Region,41 to 45
COTE D'AZUR,"3,220,000","1,539.25","2,092",Feb-26,MARINE PARADE ROAD,Resale,Strata,143,"22,517",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,11 to 15
RV ALTITUDE,"1,758,888",635.08,"2,770",Feb-26,RIVER VALLEY ROAD,Resale,Strata,59,"29,812",-,Apartment,1,Freehold,09,Core Central Region,11 to 15
MANDARIN GARDENS,"2,188,000","1,786.82","1,225",Feb-26,SIGLAP ROAD,Resale,Strata,166,"13,181",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,01 to 05
JADE RESIDENCES,"1,428,000","1,011.82","1,411",Feb-26,LEW LIAN VALE,Resale,Strata,94,"15,191",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
THE HORIZON,"3,750,000","1,560.78","2,403",Feb-26,HOLT ROAD,Resale,Strata,145,"25,862",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
SEASIDE RESIDENCES,"2,838,000","1,259.39","2,253",Feb-26,SIGLAP LINK,Resale,Strata,117,"24,256",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,01 to 05
LEEDON RESIDENCE,"5,924,000","2,109.74","2,808",Feb-26,LEEDON HEIGHTS,Resale,Strata,196,"30,224",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
HILLION RESIDENCES,"820,000",473.62,"1,731",Feb-26,JELEBU ROAD,Resale,Strata,44,"18,636",-,Apartment,1,99 yrs lease commencing from 2013,23,Outside Central Region,11 to 15
LEEDON RESIDENCE,"16,300,000","6,124.72","2,661",Feb-26,LEEDON HEIGHTS,Resale,Strata,569,"28,647",-,Condominium,1,Freehold,10,Core Central Region,11 to 15
SANCTUARY GREEN,"1,450,000",775.01,"1,871",Feb-26,TANJONG RHU ROAD,Resale,Strata,72,"20,139",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,01 to 05
MARINA ONE RESIDENCES,"2,240,000","1,108.69","2,020",Feb-26,MARINA WAY,Resale,Strata,103,"21,748",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,21 to 25
EUHABITAT,"1,760,000","1,184.04","1,486",Feb-26,JALAN EUNOS,Resale,Strata,110,"16,000",-,Condominium,1,99 yrs lease commencing from 2010,14,Outside Central Region,01 to 05
WATERFORD RESIDENCE,"2,850,000","1,399.32","2,037",Feb-26,KIM YAM ROAD,Resale,Strata,130,"21,923",-,Apartment,1,999 yrs lease commencing from 1841,09,Core Central Region,06 to 10
LEGENDA AT JOO CHIAT,"2,300,000","1,948.28","1,181",Feb-26,JOO CHIAT LANE,Resale,Strata,181,"12,707",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,01 to 05
THE LUXURIE,"1,878,000","1,054.87","1,780",Feb-26,COMPASSVALE ROAD,Resale,Strata,98,"19,163",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
THE GARDEN RESIDENCES,"1,300,000",688.9,"1,887",Feb-26,SERANGOON NORTH VIEW,Resale,Strata,64,"20,313",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,06 to 10
ONE AMBER,"3,120,000","1,302.44","2,395",Feb-26,AMBER GARDENS,Resale,Strata,121,"25,785",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
SEA ESTA,"1,730,000","1,442.38","1,199",Feb-26,PASIR RIS LINK,Resale,Strata,134,"12,910",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,01 to 05
VISIONCREST,"2,320,000",990.29,"2,343",Feb-26,OXLEY RISE,Resale,Strata,92,"25,217",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
THE ANCHORAGE,"2,910,000","1,463.9","1,988",Feb-26,ALEXANDRA ROAD,Resale,Strata,136,"21,397",-,Condominium,1,Freehold,03,Rest of Central Region,01 to 05
CASA FORTUNA,"975,000",710.42,"1,372",Feb-26,AH HOOD ROAD,Resale,Strata,66,"14,773",-,Apartment,1,Freehold,12,Rest of Central Region,01 to 05
ISLAND VIEW,"4,880,000","3,595.18","1,357",Feb-26,JALAN MAT JAMBOL,Resale,Strata,334,"14,611",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
D - HERITAGE APARTMENTS,"1,345,800",904.18,"1,488",Feb-26,LENGKONG EMPAT,Resale,Strata,84,"16,021",-,Apartment,1,Freehold,14,Outside Central Region,06 to 10
NORMANTON PARK,"1,518,888",764.24,"1,987",Feb-26,NORMANTON PARK,Resale,Strata,71,"21,393",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
VACANZA @ EAST,"1,680,000","1,011.82","1,660",Feb-26,LENGKONG TUJOH,Resale,Strata,94,"17,872",-,Condominium,1,Freehold,14,Outside Central Region,01 to 05
THE SKYWOODS,"1,680,000","1,011.82","1,660",Feb-26,DAIRY FARM HEIGHTS,Resale,Strata,94,"17,872",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,01 to 05
THE WATERSIDE,"5,450,000","2,411.14","2,260",Feb-26,TANJONG RHU ROAD,Resale,Strata,224,"24,330",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
THE TAPESTRY,"1,791,888",990.29,"1,809",Feb-26,TAMPINES STREET 86,Resale,Strata,92,"19,477",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,06 to 10
SPANISH VILLAGE,"3,500,000","1,593.07","2,197",Feb-26,FARRER ROAD,Resale,Strata,148,"23,649",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
MONTVIEW,"3,534,000","1,700.71","2,078",Feb-26,MOUNT SINAI DRIVE,Resale,Strata,158,"22,367",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
WATERFRONT ISLE,"980,000",635.08,"1,543",Feb-26,BEDOK RESERVOIR ROAD,Resale,Strata,59,"16,610",-,Condominium,1,99 yrs lease commencing from 2009,16,Outside Central Region,11 to 15
SUNHAVEN,"1,388,000",990.29,"1,402",Feb-26,UPPER CHANGI ROAD EAST,Resale,Strata,92,"15,087",-,Condominium,1,Freehold,16,Outside Central Region,06 to 10
THE SEAWIND,"1,882,000",914.94,"2,057",Feb-26,LORONG M TELOK KURAU,Resale,Strata,85,"22,141",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
THE ESTUARY,"1,480,000","1,119.46","1,322",Feb-26,YISHUN AVENUE 1,Resale,Strata,104,"14,231",-,Condominium,1,99 yrs lease commencing from 2008,27,Outside Central Region,11 to 15
COSTA RHU,"1,820,000","1,560.78","1,166",Feb-26,RHU CROSS,Resale,Strata,145,"12,552",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,01 to 05
HILLBROOKS,"1,400,000",882.65,"1,586",Feb-26,HILLVIEW AVENUE,Resale,Strata,82,"17,073",-,Condominium,1,Freehold,23,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"1,470,000",796.54,"1,845",Feb-26,HOUGANG AVENUE 2,Resale,Strata,74,"19,865",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20
PARC ESTA,"2,410,000",958,"2,516",Feb-26,SIMS AVENUE,Resale,Strata,89,"27,079",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,06 to 10
PARC ESTA,"2,680,000","1,033.34","2,594",Feb-26,SIMS AVENUE,Resale,Strata,96,"27,917",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,11 to 15
THE GARDEN RESIDENCES,"1,480,000",785.77,"1,883",Feb-26,SERANGOON NORTH VIEW,Resale,Strata,73,"20,274",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,06 to 10
THE ALPS RESIDENCES,"1,040,000",699.66,"1,486",Feb-26,TAMPINES STREET 86,Resale,Strata,65,"16,000",-,Condominium,1,99 yrs lease commencing from 2015,18,Outside Central Region,01 to 05
THE BAYSHORE,"2,000,000","1,431.61","1,397",Feb-26,BAYSHORE ROAD,Resale,Strata,133,"15,038",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,11 to 15
THE CASCADIA,"1,190,000",570.49,"2,086",Feb-26,BUKIT TIMAH ROAD,Resale,Strata,53,"22,453",-,Condominium,1,Freehold,21,Rest of Central Region,06 to 10
GARDENVISTA,"2,350,000","1,130.22","2,079",Feb-26,DUNEARN ROAD,Resale,Strata,105,"22,381",-,Condominium,1,99 yrs lease commencing from 1999,21,Rest of Central Region,01 to 05
LAKEVIEW ESTATE,"1,688,000","1,614.6","1,045",Feb-26,UPPER THOMSON ROAD,Resale,Strata,150,"11,253",-,Apartment,1,99 yrs lease commencing from 1977,20,Rest of Central Region,11 to 15
TRILIVE,"2,250,000","1,162.51","1,935",Feb-26,TAMPINES ROAD,Resale,Strata,108,"20,833",-,Condominium,1,Freehold,19,Outside Central Region,11 to 15
THE MAKENA,"3,500,000","1,582.31","2,212",Feb-26,MEYER ROAD,Resale,Strata,147,"23,810",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
SOPHIA HILLS,"1,498,000",710.42,"2,109",Feb-26,MOUNT SOPHIA,Resale,Strata,66,"22,697",-,Condominium,1,99 yrs lease commencing from 2013,09,Core Central Region,01 to 05
KELLOCK LODGE,"2,380,000","1,205.57","1,974",Feb-26,KELLOCK ROAD,Resale,Strata,112,"21,250",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
TREASURE AT TAMPINES,"1,050,000",581.26,"1,806",Feb-26,TAMPINES LANE,Resale,Strata,54,"19,444",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,11 to 15
FORETT@BUKIT TIMAH,"1,700,000",721.19,"2,357",Feb-26,TOH TUCK ROAD,Resale,Strata,67,"25,373",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
THOMSON GROVE,"4,180,000","2,895.52","1,444",Feb-26,YIO CHU KANG ROAD,Resale,Strata,269,"15,539",-,Condominium,1,Freehold,26,Outside Central Region,06 to 10
MIDWOOD,"1,268,000",688.9,"1,841",Feb-26,HILLVIEW RISE,Resale,Strata,64,"19,813",-,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,01 to 05
SIMSVILLE,"1,420,000",968.76,"1,466",Feb-26,GEYLANG EAST AVENUE 2,Resale,Strata,90,"15,778",-,Condominium,1,99 yrs lease commencing from 1994,14,Rest of Central Region,11 to 15
CUBIK,"1,720,000","1,022.58","1,682",Feb-26,LORONG K TELOK KURAU,Resale,Strata,95,"18,105",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
